iter	Passed	Remaining
0	134	134466
1	136	67910
2	137	45658
3	138	34510
4	139	27850
5	141	23389
6	142	20260
7	144	17861
8	145	15990
9	146	14490
10	147	13265
11	148	12246
12	150	11404
13	151	10663
14	152	10021
15	153	9464
16	155	8973
17	156	8530
18	157	8134
19	158	7777
20	159	7450
21	161	7161
22	162	6898
23	163	6655
24	164	6424
25	165	6211
26	166	6013
27	168	5843
28	169	5684
29	171	5530
30	172	5389
31	173	5256
32	175	5138
33	176	5021
34	178	4914
35	179	4811
36	181	4722
37	182	4627
38	184	4535
39	185	4448
40	186	4362
41	188	4288
42	189	4211
43	190	4141
44	192	4077
45	193	4021
46	195	3958
47	196	3899
48	198	3844
49	199	3796
50	201	3743
51	202	3692
52	203	3643
53	205	3596
54	207	3558
55	208	3511
56	209	3464
57	210	3419
58	212	3381
59	213	3346
60	214	3308
61	216	3271
62	217	3236
63	218	3202
64	220	3168
65	221	3136
66	222	3102
67	223	3069
68	225	3037
69	226	3005
70	227	2975
71	228	2945
72	229	2916
73	230	2889
74	232	2862
75	233	2836
76	234	2810
77	235	2784
78	236	2759
79	237	2734
80	238	2710
81	240	2687
82	240	2660
83	241	2638
84	243	2616
85	244	2599
86	245	2579
87	247	2559
88	248	2540
89	249	2521
90	250	2503
91	251	2484
92	252	2466
93	254	2448
94	255	2430
95	256	2413
96	257	2396
97	258	2379
98	259	2362
99	260	2346
100	261	2331
101	263	2316
102	264	2300
103	265	2285
104	266	2270
105	267	2255
106	268	2241
107	269	2227
108	270	2213
109	271	2199
110	272	2185
111	273	2172
112	275	2159
113	276	2146
114	277	2134
115	278	2121
116	279	2107
117	280	2096
118	281	2084
119	282	2072
120	283	2060
121	284	2047
122	285	2036
123	286	2026
124	287	2015
125	289	2004
126	289	1992
127	291	1982
128	292	1972
129	293	1962
130	294	1952
131	295	1942
132	296	1933
133	297	1924
134	298	1915
135	300	1906
136	301	1897
137	302	1889
138	303	1880
139	304	1871
140	305	1863
141	306	1852
142	307	1844
143	308	1836
144	309	1827
145	311	1819
146	312	1811
147	313	1803
148	314	1795
149	315	1787
150	316	1780
151	317	1773
152	318	1765
153	320	1758
154	321	1750
155	322	1743
156	323	1736
157	324	1729
158	325	1722
159	326	1715
160	327	1707
161	328	1700
162	329	1693
163	330	1687
164	332	1680
165	333	1674
166	334	1667
167	335	1660
168	336	1654
169	337	1648
170	338	1641
171	339	1635
172	340	1630
173	342	1624
174	343	1618
175	344	1612
176	345	1606
177	346	1600
178	347	1594
179	348	1588
180	349	1582
181	350	1576
182	351	1571
183	353	1565
184	354	1559
185	355	1554
186	356	1549
187	357	1544
188	358	1538
189	359	1533
190	360	1528
191	362	1523
192	363	1519
193	364	1514
194	365	1510
195	367	1505
196	368	1500
197	369	1495
198	370	1492
199	371	1487
200	373	1483
201	374	1480
202	376	1476
203	377	1472
204	378	1468
205	379	1464
206	381	1460
207	382	1456
208	383	1452
209	385	1448
210	386	1444
211	387	1439
212	388	1435
213	389	1431
214	391	1427
215	392	1424
216	393	1420
217	394	1416
218	396	1412
219	397	1408
220	398	1406
221	400	1403
222	401	1400
223	403	1396
224	404	1392
225	405	1390
226	407	1387
227	408	1383
228	410	1380
229	411	1376
230	412	1373
231	413	1369
232	414	1365
233	415	1361
234	417	1358
235	418	1354
236	419	1351
237	420	1347
238	421	1343
239	423	1339
240	424	1335
241	425	1332
242	426	1328
243	427	1324
244	428	1320
245	429	1317
246	430	1313
247	431	1309
248	433	1306
249	434	1302
250	435	1299
251	436	1295
252	437	1291
253	438	1288
254	439	1285
255	440	1281
256	442	1278
257	443	1274
258	444	1271
259	445	1268
260	446	1265
261	447	1261
262	448	1258
263	450	1254
264	451	1251
265	452	1247
266	453	1244
267	454	1241
268	455	1237
269	456	1234
270	457	1231
271	458	1228
272	460	1225
273	461	1222
274	462	1219
275	463	1216
276	464	1213
277	465	1209
278	467	1206
279	468	1203
280	469	1200
281	470	1197
282	471	1194
283	472	1191
284	473	1188
285	474	1185
286	475	1182
287	477	1179
288	478	1176
289	479	1173
290	480	1170
291	481	1167
292	482	1164
293	483	1161
294	484	1158
295	485	1155
296	486	1152
297	487	1149
298	489	1146
299	490	1143
300	491	1141
301	492	1138
302	493	1135
303	494	1132
304	495	1129
305	496	1127
306	498	1124
307	499	1121
308	500	1119
309	501	1116
310	502	1113
311	503	1111
312	504	1108
313	506	1105
314	507	1103
315	508	1100
316	509	1097
317	510	1095
318	511	1092
319	513	1090
320	514	1087
321	515	1084
322	516	1082
323	517	1080
324	518	1077
325	520	1075
326	521	1072
327	522	1070
328	523	1067
329	524	1065
330	525	1062
331	526	1060
332	527	1057
333	529	1054
334	530	1052
335	531	1049
336	532	1047
337	533	1044
338	534	1042
339	535	1039
340	536	1037
341	537	1034
342	538	1032
343	539	1029
344	541	1027
345	542	1024
346	543	1022
347	544	1020
348	545	1017
349	546	1015
350	547	1012
351	548	1010
352	549	1008
353	551	1005
354	552	1003
355	553	1001
356	554	998
357	555	996
358	556	994
359	557	991
360	559	989
361	560	987
362	561	984
363	562	982
364	563	980
365	564	977
366	565	975
367	566	973
368	567	971
369	569	968
370	570	966
371	571	964
372	572	962
373	573	959
374	574	957
375	575	955
376	576	952
377	577	950
378	578	948
379	579	945
380	580	943
381	582	941
382	583	939
383	584	937
384	585	935
385	586	933
386	587	930
387	588	928
388	589	926
389	591	924
390	592	922
391	593	920
392	594	918
393	595	916
394	596	913
395	597	911
396	598	909
397	600	907
398	601	905
399	602	903
400	603	901
401	604	899
402	605	897
403	606	895
404	607	893
405	609	891
406	610	888
407	611	886
408	612	884
409	613	882
410	614	880
411	615	878
412	616	876
413	617	874
414	618	872
415	619	870
416	621	868
417	622	866
418	623	864
419	624	862
420	625	860
421	626	858
422	627	856
423	628	854
424	629	852
425	631	850
426	632	848
427	633	846
428	634	844
429	635	842
430	636	840
431	637	838
432	638	836
433	639	834
434	641	833
435	642	831
436	643	829
437	644	827
438	646	825
439	647	823
440	648	821
441	649	819
442	650	817
443	651	815
444	652	813
445	653	812
446	654	810
447	655	808
448	657	806
449	658	804
450	659	802
451	660	800
452	661	798
453	662	797
454	663	795
455	665	793
456	666	791
457	667	789
458	668	787
459	669	786
460	670	784
461	672	782
462	673	780
463	674	779
464	675	777
465	676	775
466	677	773
467	679	771
468	680	770
469	681	768
470	682	766
471	683	764
472	684	762
473	685	760
474	686	758
475	687	757
476	688	755
477	689	753
478	691	751
479	692	749
480	693	748
481	694	746
482	695	744
483	696	742
484	697	741
485	699	739
486	700	737
487	701	736
488	702	734
489	703	732
490	704	730
491	706	728
492	707	727
493	708	725
494	709	723
495	710	721
496	711	720
497	712	718
498	713	716
499	714	714
500	716	713
501	717	711
502	718	709
503	719	708
504	720	706
505	721	704
506	722	702
507	723	700
508	724	699
509	725	697
510	727	695
511	728	693
512	729	692
513	730	690
514	731	689
515	732	687
516	733	685
517	735	683
518	736	682
519	737	680
520	738	678
521	739	677
522	740	675
523	741	673
524	742	672
525	744	670
526	745	668
527	746	667
528	747	665
529	748	663
530	749	662
531	750	660
532	752	658
533	753	657
534	754	655
535	755	653
536	756	652
537	757	650
538	758	648
539	759	646
540	760	645
541	761	643
542	762	642
543	764	640
544	765	638
545	766	637
546	767	635
547	768	633
548	769	632
549	770	630
550	771	629
551	773	627
552	774	625
553	775	624
554	776	622
555	777	621
556	778	619
557	779	617
558	781	616
559	782	614
560	783	612
561	784	611
562	785	609
563	786	607
564	787	606
565	788	604
566	789	602
567	790	601
568	791	599
569	793	598
570	794	596
571	795	595
572	796	593
573	797	591
574	798	590
575	799	588
576	801	587
577	802	585
578	803	584
579	804	582
580	805	580
581	806	579
582	807	577
583	808	576
584	809	574
585	811	572
586	812	571
587	813	569
588	814	568
589	815	566
590	816	564
591	817	563
592	818	561
593	819	560
594	820	558
595	821	557
596	823	555
597	824	554
598	825	552
599	826	550
600	827	549
601	828	547
602	829	546
603	830	544
604	831	543
605	833	541
606	834	540
607	835	538
608	836	537
609	837	535
610	838	533
611	839	532
612	841	530
613	842	529
614	843	527
615	844	526
616	845	524
617	846	523
618	847	521
619	848	520
620	850	518
621	851	517
622	852	515
623	853	514
624	854	512
625	855	511
626	856	509
627	857	508
628	858	506
629	860	505
630	861	503
631	862	502
632	863	500
633	864	499
634	865	497
635	866	496
636	868	494
637	869	493
638	870	491
639	871	490
640	872	488
641	873	487
642	874	485
643	875	484
644	877	482
645	878	481
646	879	479
647	880	478
648	881	476
649	882	475
650	884	474
651	885	472
652	886	471
653	887	469
654	888	468
655	890	466
656	891	465
657	892	463
658	893	462
659	894	460
660	896	459
661	897	458
662	898	456
663	899	455
664	900	453
665	902	452
666	903	450
667	904	449
668	905	447
669	906	446
670	907	445
671	908	443
672	909	442
673	910	440
674	912	439
675	913	437
676	914	436
677	915	434
678	916	433
679	917	431
680	918	430
681	919	428
682	920	427
683	922	426
684	923	424
685	924	423
686	925	421
687	926	420
688	927	418
689	928	417
690	929	415
691	930	414
692	932	412
693	933	411
694	934	410
695	935	408
696	936	407
697	937	405
698	938	404
699	939	402
700	940	401
701	942	399
702	943	398
703	944	397
704	945	395
705	946	394
706	947	392
707	949	391
708	950	389
709	951	388
710	952	387
711	953	385
712	954	384
713	955	382
714	956	381
715	958	380
716	959	378
717	960	377
718	961	375
719	962	374
720	963	372
721	964	371
722	965	370
723	967	368
724	968	367
725	969	365
726	970	364
727	971	363
728	972	361
729	973	360
730	975	358
731	976	357
732	977	355
733	978	354
734	979	353
735	980	351
736	981	350
737	982	348
738	983	347
739	984	346
740	985	344
741	987	343
742	988	341
743	989	340
744	990	339
745	991	337
746	992	336
747	993	334
748	995	333
749	996	332
750	997	330
751	998	329
752	1000	328
753	1001	326
754	1003	325
755	1004	324
756	1005	322
757	1007	321
758	1008	320
759	1010	318
760	1011	317
761	1012	316
762	1014	315
763	1017	314
764	1018	312
765	1019	311
766	1021	310
767	1022	308
768	1023	307
769	1024	306
770	1025	304
771	1027	303
772	1028	301
773	1029	300
774	1030	299
775	1032	297
776	1033	296
777	1034	295
778	1035	293
779	1037	292
780	1038	291
781	1039	289
782	1040	288
783	1041	287
784	1043	285
785	1044	284
786	1045	283
787	1046	281
788	1048	280
789	1049	278
790	1050	277
791	1051	276
792	1053	274
793	1054	273
794	1055	272
795	1056	270
796	1058	269
797	1059	268
798	1060	266
799	1061	265
800	1063	264
801	1064	262
802	1066	261
803	1067	260
804	1068	258
805	1070	257
806	1071	256
807	1072	254
808	1073	253
809	1075	252
810	1076	250
811	1077	249
812	1078	248
813	1080	246
814	1081	245
815	1082	244
816	1083	242
817	1084	241
818	1086	240
819	1087	238
820	1088	237
821	1089	235
822	1090	234
823	1092	233
824	1093	231
825	1094	230
826	1095	229
827	1096	227
828	1098	226
829	1099	225
830	1100	223
831	1101	222
832	1102	221
833	1104	219
834	1106	218
835	1108	217
836	1109	216
837	1110	214
838	1111	213
839	1112	211
840	1114	210
841	1115	209
842	1116	207
843	1117	206
844	1119	205
845	1120	203
846	1121	202
847	1122	201
848	1123	199
849	1125	198
850	1126	197
851	1127	195
852	1129	194
853	1131	193
854	1132	192
855	1134	190
856	1135	189
857	1137	188
858	1138	186
859	1139	185
860	1141	184
861	1142	182
862	1144	181
863	1145	180
864	1146	178
865	1148	177
866	1149	176
867	1151	175
868	1152	173
869	1155	172
870	1161	172
871	1164	170
872	1166	169
873	1168	168
874	1170	167
875	1171	165
876	1173	164
877	1174	163
878	1176	161
879	1177	160
880	1179	159
881	1182	158
882	1186	157
883	1188	156
884	1190	154
885	1191	153
886	1192	151
887	1193	150
888	1195	149
889	1196	147
890	1197	146
891	1199	145
892	1200	143
893	1202	142
894	1203	141
895	1204	139
896	1205	138
897	1209	137
898	1210	136
899	1214	134
900	1216	133
901	1218	132
902	1219	131
903	1221	129
904	1222	128
905	1223	126
906	1224	125
907	1226	124
908	1227	122
909	1228	121
910	1229	120
911	1231	118
912	1232	117
913	1233	116
914	1234	114
915	1236	113
916	1237	111
917	1238	110
918	1239	109
919	1240	107
920	1241	106
921	1243	105
922	1244	103
923	1245	102
924	1246	101
925	1247	99
926	1248	98
927	1249	96
928	1250	95
929	1251	94
930	1253	92
931	1254	91
932	1255	90
933	1256	88
934	1257	87
935	1258	86
936	1259	84
937	1260	83
938	1262	81
939	1263	80
940	1264	79
941	1265	77
942	1266	76
943	1267	75
944	1268	73
945	1269	72
946	1270	71
947	1272	69
948	1273	68
949	1274	67
950	1275	65
951	1276	64
952	1277	63
953	1278	61
954	1279	60
955	1281	58
956	1282	57
957	1283	56
958	1284	54
959	1285	53
960	1286	52
961	1287	50
962	1288	49
963	1289	48
964	1291	46
965	1292	45
966	1293	44
967	1294	42
968	1295	41
969	1296	40
970	1297	38
971	1298	37
972	1300	36
973	1301	34
974	1302	33
975	1303	32
976	1304	30
977	1306	29
978	1307	28
979	1308	26
980	1309	25
981	1310	24
982	1311	22
983	1312	21
984	1313	20
985	1315	18
986	1316	17
987	1317	16
988	1318	14
989	1319	13
990	1320	11
991	1322	10
992	1323	9
993	1324	7
994	1325	6
995	1326	5
996	1327	3
997	1328	2
998	1329	1
999	1330	0
